"","word","n","per"
"1","students",28,8.11594202898551
"2","class",13,3.76811594202899
"3","online",9,2.60869565217391
"4","person",7,2.02898550724638
"5","student",7,2.02898550724638
"6","time",7,2.02898550724638
"7","delivery",6,1.73913043478261
"8","instructor",5,1.44927536231884
"9","recorded",5,1.44927536231884
"10","attendance",4,1.15942028985507
"11","classes",4,1.15942028985507
"12","examination",4,1.15942028985507
"13","lectures",4,1.15942028985507
"14","academic",3,0.869565217391304
"15","classmates",3,0.869565217391304
"16","courses",3,0.869565217391304
"17","interaction",3,0.869565217391304
"18","invigilated",3,0.869565217391304
"19","material",3,0.869565217391304
"20","mode",3,0.869565217391304
"21","offered",3,0.869565217391304
"22","prefer",3,0.869565217391304
"23","project",3,0.869565217391304
"24","seminars",3,0.869565217391304
"25","tests",3,0.869565217391304
"26","book",2,0.579710144927536
"27","dishonesty",2,0.579710144927536
"28","due",2,0.579710144927536
"29","examinations",2,0.579710144927536
"30","final",2,0.579710144927536
"31","graduate",2,0.579710144927536
"32","home",2,0.579710144927536
"33","impact",2,0.579710144927536
"34","individual",2,0.579710144927536
"35","lack",2,0.579710144927536
"36","limited",2,0.579710144927536
"37","midterm",2,0.579710144927536
"38","offer",2,0.579710144927536
"39","question",2,0.579710144927536
"40","questions",2,0.579710144927536
"41","reports",2,0.579710144927536
"42","semester",2,0.579710144927536
"43","session",2,0.579710144927536
"44","size",2,0.579710144927536
"45","synchronous",2,0.579710144927536
"46","teaching",2,0.579710144927536
"47","view",2,0.579710144927536
"48","viewed",2,0.579710144927536
"49","absence",1,0.289855072463768
"50","absent",1,0.289855072463768
"51","add",1,0.289855072463768
"52","advantage",1,0.289855072463768
"53","adverse",1,0.289855072463768
"54","allotted",1,0.289855072463768
"55","answer",1,0.289855072463768
"56","approximately",1,0.289855072463768
"57","arose",1,0.289855072463768
"58","assignments",1,0.289855072463768
"59","asynchronous",1,0.289855072463768
"60","attend",1,0.289855072463768
"61","availability",1,0.289855072463768
"62","benefited",1,0.289855072463768
"63","brightspace",1,0.289855072463768
"64","challenge",1,0.289855072463768
"65","challenging",1,0.289855072463768
"66","changing",1,0.289855072463768
"67","charm",1,0.289855072463768
"68","choice",1,0.289855072463768
"69","clarify",1,0.289855072463768
"70","close",1,0.289855072463768
"71","comment",1,0.289855072463768
"72","confusion",1,0.289855072463768
"73","consistent",1,0.289855072463768
"74","consult",1,0.289855072463768
"75","content",1,0.289855072463768
"76","convenient",1,0.289855072463768
"77","core",1,0.289855072463768
"78","d2l's",1,0.289855072463768
"79","day",1,0.289855072463768
"80","deal",1,0.289855072463768
"81","dealing",1,0.289855072463768
"82","delinquent",1,0.289855072463768
"83","difficulties",1,0.289855072463768
"84","difficulty",1,0.289855072463768
"85","disadvantaged",1,0.289855072463768
"86","discourage",1,0.289855072463768
"87","discussion",1,0.289855072463768
"88","distant",1,0.289855072463768
"89","doubts",1,0.289855072463768
"90","dropped",1,0.289855072463768
"91","earlier",1,0.289855072463768
"92","edit",1,0.289855072463768
"93","effective",1,0.289855072463768
"94","effort",1,0.289855072463768
"95","engaged",1,0.289855072463768
"96","engaging",1,0.289855072463768
"97","enrollment",1,0.289855072463768
"98","equal",1,0.289855072463768
"99","error",1,0.289855072463768
"100","event",1,0.289855072463768
"101","exam",1,0.289855072463768
"102","exceptions",1,0.289855072463768
"103","experience",1,0.289855072463768
"104","experiments",1,0.289855072463768
"105","explain",1,0.289855072463768
"106","facing",1,0.289855072463768
"107","features",1,0.289855072463768
"108","feedback",1,0.289855072463768
"109","field",1,0.289855072463768
"110","formidable",1,0.289855072463768
"111","found",1,0.289855072463768
"112","giving",1,0.289855072463768
"113","greatly",1,0.289855072463768
"114","habit",1,0.289855072463768
"115","half",1,0.289855072463768
"116","handling",1,0.289855072463768
"117","highly",1,0.289855072463768
"118","hope",1,0.289855072463768
"119","hours",1,0.289855072463768
"120","human",1,0.289855072463768
"121","idea",1,0.289855072463768
"122","ignorance",1,0.289855072463768
"123","incidents",1,0.289855072463768
"124","instruct",1,0.289855072463768
"125","instructor's",1,0.289855072463768
"126","instructors",1,0.289855072463768
"127","interactions",1,0.289855072463768
"128","involve",1,0.289855072463768
"129","involved",1,0.289855072463768
"130","jobs",1,0.289855072463768
"131","laboratory",1,0.289855072463768
"132","labs",1,0.289855072463768
"133","learn",1,0.289855072463768
"134","learning",1,0.289855072463768
"135","listened",1,0.289855072463768
"136","live",1,0.289855072463768
"137","measures",1,0.289855072463768
"138","meeting",1,0.289855072463768
"139","minutes",1,0.289855072463768
"140","missed",1,0.289855072463768
"141","mitigate",1,0.289855072463768
"142","normal",1,0.289855072463768
"143","observations",1,0.289855072463768
"144","occasional",1,0.289855072463768
"145","occasions",1,0.289855072463768
"146","occurred",1,0.289855072463768
"147","occurrence",1,0.289855072463768
"148","office",1,0.289855072463768
"149","opportunity",1,0.289855072463768
"150","pandemic",1,0.289855072463768
"151","participation",1,0.289855072463768
"152","past",1,0.289855072463768
"153","pause",1,0.289855072463768
"154","perfect",1,0.289855072463768
"155","period",1,0.289855072463768
"156","personal",1,0.289855072463768
"157","plagiarism",1,0.289855072463768
"158","playback",1,0.289855072463768
"159","pleasantly",1,0.289855072463768
"160","posed",1,0.289855072463768
"161","positive",1,0.289855072463768
"162","pre",1,0.289855072463768
"163","prerecorded",1,0.289855072463768
"164","presentation",1,0.289855072463768
"165","primarily",1,0.289855072463768
"166","productive",1,0.289855072463768
"167","provide",1,0.289855072463768
"168","quiet",1,0.289855072463768
"169","rare",1,0.289855072463768
"170","reason",1,0.289855072463768
"171","record",1,0.289855072463768
"172","reduced",1,0.289855072463768
"173","regard",1,0.289855072463768
"174","require",1,0.289855072463768
"175","resources",1,0.289855072463768
"176","respect",1,0.289855072463768
"177","result",1,0.289855072463768
"178","review",1,0.289855072463768
"179","rewind",1,0.289855072463768
"180","scheduled",1,0.289855072463768
"181","sets",1,0.289855072463768
"182","share",1,0.289855072463768
"183","shifts",1,0.289855072463768
"184","similarly",1,0.289855072463768
"185","software",1,0.289855072463768
"186","solutions",1,0.289855072463768
"187","solve",1,0.289855072463768
"188","stated",1,0.289855072463768
"189","successful",1,0.289855072463768
"190","suitable",1,0.289855072463768
"191","surprised",1,0.289855072463768
"192","system",1,0.289855072463768
"193","tas",1,0.289855072463768
"194","taught",1,0.289855072463768
"195","test",1,0.289855072463768
"196","testing",1,0.289855072463768
"197","timely",1,0.289855072463768
"198","times",1,0.289855072463768
"199","told",1,0.289855072463768
"200","tutorials",1,0.289855072463768
"201","uncommon",1,0.289855072463768
"202","undergraduate",1,0.289855072463768
"203","valuable",1,0.289855072463768
"204","varying",1,0.289855072463768
"205","videos",1,0.289855072463768
"206","viewing",1,0.289855072463768
"207","warranted",1,0.289855072463768
"208","zones",1,0.289855072463768
